abbey	tu viện
fiilling	đổ đầy
fiinger	ngón tay
file	tập tin
filght	chuyến bay
film	phim ảnh
finally	cuối cùng
find	tìm thấy
finds	tìm thấy
fine	khỏe
finest	tốt nhất
finger	ngón tay
finish	hoàn thành
finnegans	người finnegans
fiore	tốt
fire	ngọn lửa
firefly	con đom đóm
firework	pháo hoa
fireworks	bắn pháo hoa
firsly	đầu tiên
first	đầu tiên
firtsly	đầu tiên
fish	cá
fisher	người câu cá
fisrt	đầu tiên
fitness	sự khỏe khoắn
five	số năm
flam	ngọn lửa
flame	ngọn lửa
flamingo	chim hồng hạc
flan	bánh flan
flash	tốc biến
flashsale	bán chớp nhoáng
flavoursome	hương vị
flicking	nhấp nháy
flip	lật
flipflops	dép tông
flipside	lật mặt
floating	nổi
floor	sàn nhà
flop	thất bại
flops	thất bại
flower	bông hoa
flowers	những bông hoa
foam	bọt
foggy	sương mù
foir	ngựa con
following	tiếp theo
food	món ăn
foodie	người sành ăn
foodie	người ăn uống
foods	thức ăn
foodstreets	thực phẩm
fooled	bị lừa
foot	chân
footbath	bồn rửa chân
footy	có chân
force	lực lượng
foreign	ngoại quốc
forest	rừng
foret	báo trước
forever	mãi mãi
foriegner	người nước ngoài
forit	cho nó
form	kiểu dáng
forniture	đồ đạc
fort	pháo đài
forth	ra ngoài
fortunate	may mắn
fortune	vận may
forty	bốn mươi
forum	diễn đàn
forvthem	cho họ
found	tìm
founder	người sáng lập
fount	đài phun nước
four	bốn
fourday	bốn ngày
fourth	thứ tư
fovourite	yêu thích
foward	đi trước
fragrance	mùi thơm
frangipani	hoa sứ
frankly	thẳng thắn
frd	thứ ba
freaking	quái đản
free	miễn phí
freebies	tiền thưởng
freedomland	đất tự do
freeeee	miễn phí
freesize	kích cỡ lớn
freestanding	tự do
freestyle	tự do
freey	chiếc phà
freezer	tủ đông
freind	tự do
frendly	tự do
frendship	hữu nghị
fresh	tươi
fridge	tủ lạnh
friedly	chiên
frieldly	thân thiện
friend	bạn bè
friendly	thân thiện
friendlybut	thân thiện nhưng
friendlyim	thân thiện
friendlytake	thân thiện
friends	bạn bè
frienfly	thân thiện
frienldy	thân thiện
frienly	thân thiện
friensdly	phù phiếm
frig	gàn
fritters	khoai tây chiên
friut	trái cây
fro	sương giá
from	từ
front	trước mặt
frontside	mặt trước
frtont	trước mặt
fruit	trái cây
fruite	trái cây
fruut	trái cây
frypans	chảo rán
fucking	tệ
fue	chết tiệt
full	đầy
fullmoon	trăng tròn
fully	đầy đủ
fun	vui vẻ
funcioning	hoạt động
funemployment	thiếu việc làm
funfact	sự thật thú vị
funky	sôi nổi
funny	buồn cười
furbished	có lông
furnished	trang bị
furniture	đồ nội thất
furnitured	trang bị
fusion	dung hợp
fusionrisort	hợp nhất
fuss	làm phiền
fusty	xưa
future	tương lai
fwd	dâm đãng
gala	dạ tiệc
galaxy	ngân hà
gallery	bộ sưu tập
game	trò chơi
gamer	game thủ
games	trò chơi
gang	băng nhóm
ganh	ganh đua
gap	lỗ hổng
garde	làm vườn
garden	vườn
gardens	vườn
gas	khí ga
gate	cánh cổng
gateman	người gác cổng
gave	đã cho
gdinh	gia định
geap	nuốt nước bọt
gecko	con tắc kè
geckos	tắc kè
gelish	hơi sệt
gentlemab	quý ông
genuine	chính hãng
get	được
getaroom	nhận phòng
getaway	nơi nghỉ ngơi
getting	nhận được
ghen	ghen tị
ghostly	ma quái
ghotel	con ma cà rồng
giantuyet	người khổng lồ
giap	giáp
giat	con dê
gieo	gieo hạt
ginormous	to lớn
gioi	giời
girl	con gái
girls	các cô gái
girls	con gái
give	đưa cho
glad	vui vẻ
glamour	sự hào nhoáng
glanced	liếc
glass	cốc thủy tinh
glazed	tráng men
global	toàn cầu
glod	lóng lánh
glomad	vui mừng
go	đi
goal	mục tiêu
goatmeat	thịt dê
gob	ngấu nghiến
godd	trời ơi
goings	đi
gold	vàng
golden	vàng
golfview	đánh gôn
good	tốt
goodbye	tạm biệt
goodluck	chúc may mắn
goodrecommend	chúc mừng
googlemaps	bản đồ google
goood	tốt
gooseberries	quả lý gai
gopro	đi pro
gorgeous	rực rỡ
gorgeously	lộng lẫy
gorget	tiện ích
got	có
goumet	người sành ăn
goup	đi lên
gout	bệnh gout
grab	vồ lấy
grace	ân huệ
grade	cấp
graduation	tốt nghiệp
graffiti	vẽ tranh lên tường
grand	lớn
grande	ông lớn
grandkids	cháu gái
grass	cỏ
great	tuyệt quá
greatly	rất nhiều
greeeeeennnnnnn	màu xanhnnnnnn
greek	người hy lạp
green	màu xanh lá
greenaway	cây xanh
greenery	cây xanh
greet	chào
grend	màu xám
grey	màu xám
grill	nướng
gro	trưởng thành
groc	cái rãnh
gross	tổng
grotty	sự thô lỗ
ground	đất
group	nhóm
grouse	cằn nhằn
grumpy	gắt gỏng
guess	phỏng đoán
guest	khách mời
guesthouse	nhà khách
guests	khách
guidance	hướng dẫn
guinea	chuột lang
guinely	chân thật
guitar	đàn ghi ta
gurgling	ọc ọc
gutted	rút ruột
guy	chàng
guys	các bạn
guyssss	thằng khốn
gym	phòng thể dục
ha	hà
haapy	vui mừng
habitaciones	thói quen
hack	gian lận
had	đã có
haggle	mặc cả
hai	hải
haiphong	hải phòng
haipong	hải phòng
hair	tóc
hairgrip	kẹp tóc
hall	đại sảnh
hallo	ê
halo	hào quang
halong	hạ long
halong	dài
halonh	hạ long
ham	giăm bông
hamburger	bánh hamburger
hamlet	ấp
hammers	búa
hamocks	võng
handmock	tay cầm
handsome	đẹp
hangar	nhà chứa máy bay
hanging	treo cổ
hangout	đi ra ngoài
hanriver	sông han
hao	hảo
hapiness	hạnh phúc
hapoened	đã xảy ra
happend	xảy ra
happy	vui mừng
happys	hạnh phúc
happys	xảy ra
harbour	hải cảng
hard	cứng
harmony	hòa hợp
hat	mũ
hau	hậu
have	có
havea	có một
haven	trú ẩn
having	đang có
hay	cỏ khô
hazard	nguy hiểm
hazardous	nguy hiểm
hazelnut	hạt phỉ
head	cái đầu
headscratcher	thợ cạo đầu
health	sức khỏe
healthy	khỏe mạnh
heat	nhiệt
heath	cây thạch thảo
heaven	thiên đường
heck	quái
helfpul	hữu ích
helful	hữu ích
helfull	hữu ích
hello	xin chào
heloed	say mê
heloful	hữu ích
help	cứu giúp
helpful	hữu ích
helpfulbuffet	hữu ích
helpfull	hữu ích
helpfully	hữu ích
hem	viền
hen	gà mái
her	cô ấy
herb	thảo mộc
herbal	thảo dược
here	đây
heritage	gia tài
hero	anh hùng
hers	của cô ấy
hesitant	do dự
hesitate	do dự
hey	chào
hi	chào
hibiscus	dâm bụt
hidden	ẩn
hideaway	ẩn đi
hideaways	nơi ẩn náu
hideout	nơi ẩn náu
hideway	ẩn đi
hien	hiền
hier	chào
highchairs	ghế cao
higher	cao hơn
highland	cao nguyên
highlight	điểm nổi bật
hightly	cao ngạo
highway	xa lộ
higland	cao nguyên
higly	cao nhất
higly	cao cấp
hii	xin chào
hil	xin chào, tôi
hilarious	vui nhộn
hill	đồi núi
hills	những ngọn đồi
hills	đồi núi
hillside	sườn đồi
hilltop	đỉnh đồi
hioliday	ngày lễ
hip	hông
hippo	con hà mã
his	của anh ấy
hishown	của mình
historic	mang tính lịch sử
history	lịch sử
hit	đánh
hitea	xin chào trà
hoang	hoàng
hoards	tích trữ
hoarsening	khản giọng
hoast	nâng cao
hochimihn	hồ chí minh
hochimin	hồ chí minh
hochiminh	hồ chí minh
hogging	cuốc đất
hoisin	nước tương đen
hoit	cuốc đất
hole	hố
holiday	ngày lễ
holidaymoon	kỳ nghỉ
holidays	ngày lễ
holtel	khách sạn
holyday	ngày thánh
home	trang chủ
home	nhà
homecooked	nấu chín
homecooking	nấu ăn ở nhà
homely	thân thiện
homely	quê mùa
homemade	tự làm
homes	những ngôi nhà
homesta	nhà trọa
homestay	ở nhà người bản xứ
homestead	nhà ở
homestyle	kiểu nhà
hometown	quê nhà
hometsay	ở nhà người bản xứ
homey	ấm cúng
homie	người nhà
homstay	ở nhà người bản xứ
honey	mật ong
honeymoon	tuần trăng mật
honeymoontrip	chuyến đi tuần trăng mật
hong	hồng
hongkong	hồng kông
honk	bấm còi
honking	bấm còi
honnestly	thành thật
hooker	gái điếm
hooting	nâng đỡ
hop	nhảy lò cò
horizn	chân trời
horizon	chân trời
horrendous	kinh khủng
horrible	kinh khủng
horrified	đã xác nhận
horrifying	chăm sóc
horror	kinh dị
horrors	kinh dị
horse	con ngựa
hospitable	hiếu khách
hospital	bệnh viện
hospitality	lòng hiếu khách
hosstes	bà chủ
host	tổ chức
hostel	nhà trọ
hostell	nhà trọ
hostels	ký túc xá
hostess	bà chủ
hosting	lưu trữ
hostle	nhà trọ
hosts	máy chủ
hot	nóng bức
hotel	khách sạn
hotelexcellent	khách sạn tuyệt vời
hotelfriendly	khách sạn
hotelfriendly	thân thiện
hotellocation	vị trí khách sạn
hotels	nhiều khách sạn
hotes	nhiều khách sạn
hotle	khách sạn
hotline	đường dây nóng
hotpot	lẩu
hotspring	suối nóng
hottub	bồn nước nóng
hour	giờ
hours	giờ
house	nhà ở
housekeep	quản gia
housekeeper	người quản gia
housekeeping	dọn phòng
housemade	làm tại nhà
houseskipping	bỏ nhà đi
houskeeping	dọn phòng
hovever	tuy nhiên
how	làm sao
howerver	tuy nhiên
howls	tiếng hú
hoziron	chân trời
hr	giờ
htoel	khách sạn
huan	huân
huanh	hoàng
hubbub	huyên náo
hue	màu sắc
hue	huế
huffed	cáu kỉnh
huge	khổng lồ
hum	ngân nga
humble	khiêm tốn
hummed	ngâm nga
hummorous	hài hước
hundred	hàng trăm
huong	hương
hurray	tiếng hoan hô
hustle	hối hả
hustling	hối hả
hut	túp lều
huu	hữu
huyen	huyền
hyped	hóa
i	tôi
iam	tôi là
ice	nước đá
icecold	đá lạnh
iced	đóng băng
id	tôi
idea	ý tưởng
ideal	lý tưởng
ideas	ý tưởng
ido	tôi làm
idyll	cảnh đồng quê
if	nếu
ifriends	bạn bè
iight	ánh sáng
ill	tôi sẽ
im	tôi
images	hình ảnh
immaculate	vô nhiễm
immaculately	ngay lập tức
immerse	đắm
impeccable	có thể
imperial	thành nội
impersonal	nhân cách
impolite	thô lỗ
importance	tầm quan trọng
important	quan trọng
importantly	quan trọng
impresion	sự ép buộc
impress	gây ấn tượng
impressed	ấn tượng
impression	ấn tượng
impressions	số lần hiển thị
impressive	ấn tượng
improvement	cải tiến
incharge	phụ trách
incheck	trong kiểm tra
incl	bao gồm
include	bao gồm
included	bao gồm
inclus	bao gồm
inconveneicne	sự bất tiện
inconvinience	sự bất tiện
increase	tăng
increasing	tăng
incredible	đáng kinh ngạc
incthe	bên trong
indepence	sự độc lập
indigo	xanh đậm
indochina	đông dương
indoor	trong nhà
infact	trong thực tế
infested	bị lây nhiễm
infinitive	nguyên mẫu
infinity	vô cực
inflatable	bơm hơi
informacion	thông tin
information	thông tin
ingredients	thành phần
initially	ban đầu
inn	quán trọ
inperial	thành nội
insane	điên
insideview	quang cảnh bên trong
insight	cái nhìn sâu sắc
insist	năn nỉ
installation	cài đặt
instructions	hướng dẫn
intercontinal	liên lục địa
intercontinal	xuyên lục địa
intercontinental	xuyên lục địa
intercontinental	liên lục địa
interested	thú vị
interesting	hấp dẫn
international	quốc tế
intrepid	gan dạ
introduce	giới thiệu
introduced	giới thiệu
investigates	điều tra
invoice	hóa đơn
iphone	điện thoại iphone
iris	mống mắt
is	là
island	đảo
issue	vấn đề
istay	tôi ở lại
it	nó
italia	nước ý
item	mục
its	nó là
ivy	cây thường xuân
jaccuzi	bể sục
jaccuzzi	bể sục
jack	giắc cắm
jackfruit	quả mít
jacky	chó rừng
jacuzy	bể sục
jacuzzi	bể sục
jade	ngọc bích
jan	tháng một
janky	vui vẻ
jantle	đùa giỡn
january	tháng giêng
japan	nhật bản
japenese	tiếng nhật
jasmine	hoa nhài
jaunt	đi chơi
jazcuzzi	bể sục
jazz	nhạc jazz
jazzcuzi	bể sục
jeans	quần jean
jenny	cú chọc
jesus	chúa giê-xu
jesus	chúa giêsu
jet	máy bay phản lực
jetstar	sao phản lực
jewel	ngọc
job	việc làm
johny	ạ
jounies	hành trình
journey	hành trình
joy	vui sướng
jubbly	vui mừng
juice	nước ép
jummy	vui vẻ
jun	tháng sáu
junction	giao lộ
june	tháng sáu
jungle	rừng nhiệt đới
junior	trẻ em
just	chỉ
kangaroo	con chuột túi
karma	nghiệp
kayac	thuyền kayac
kayak	chèo xuồng
kayle	thuyền kayle
keep	giữ
keeping	duy trì
keg	thùng
ketchup	sốt cà chua
kettle	ấm đun nước
key	chìa khóa
keycard	thẻ chìa khóa
keyless	không chìa khóa
kha	khà
khao	khao khát
khau	khẩu
khen	khen ngợi
khoai	khoai tây
khoi	khôi
khuong	khương
khuya	đêm nay
khuynh	khuynh hướng
kick	đá
kicked	đá
kictchen	phòng bếp
kid	đứa trẻ
kidclub	câu lạc bộ trẻ em
kidgroup	nhóm trẻ
kids	trẻ em
kidsclub	câu lạc bộ trẻ em
kiem	kiêm
kieu	kiều
killer	sát thủ
killing	giết
kind	tốt bụng
kindly	tử tế
king	nhà vua
kingdom	vương quốc
kingfishers	bói cá
kings	các vị vua
kingsize	cỡ lớn
kinh	dân tộc kinh
kinks	gấp khúc
kit	bộ dụng cụ
kitchen	phòng bếp
kite	cánh diều
kiteboard	ván diều
kiteboending	thả diều
kiting	ăn thịt
kitted	mèo con
kitty	mèo con
kiwi	quả kiwi
know	biết rôi
knowledgeable	có kiến ​​thức
knowlegable	có kiến ​​thức
known	đã biết
koi	cá koi
korea	hàn quốc
kurd	người kurd
lab	phòng thí nghiệm
lackluster	mờ nhạt
lactose	đường lactose
ladies	quý cô
lady	quý bà
ladybird	bọ cánh cam
laf	không có nghĩa
lag	lỗi
lager	bằng lăng
lagoon	đầm phá
lake	hồ nước
lakeside	bờ hồ
lakside	bờ hồ
lama	lạt ma
lame	què
lance	cây thương
land	đất đai
landmark	phong cảnh
landmarket	thị trường nhà đất
landscape	phong cảnh
landscapes	phong cảnh
landscaping	phong cảnh
landscpaes	phong cảnh
lane	làn đường
laneway	làn đường
languange	ngôn ngữ
lantarns	đèn lồng
lantern	đèn lồng
lanterns	đèn lồng
lao	lào
laptop	máy tính xách tay
large	lớn
lasagna	mì nướng kiểu ý
lash	dây da roi
last	cuối cùng
lat	vĩ độ
late	muộn
later	một lát sau
latte	pha cà phê
laudry	giặt ủi
laundry	giặt ủi
laureate	người đoạt giải
laurel	nguyệt quế
lavender	hoa oải hương
lay	đặt nằm
layback	lùi lại
layout	bố trí
layover	trạm dừng chân
laze	ngủ quên
lazing	buồn ngủ
lazy	lười biếng
lcoation	vị trí
lcrthanks	lcr cảm ơn
le	lê
lea	đồng cỏ
lead	chì
leaf	lá cây
leah	nhảy
learge	học hỏi
least	ít nhất
leave	rời khỏi
led	dẫn đầu
led	đèn led
leg	chân
legacy	di sản
legap	cái chân
legend	huyền thoại
legging	quần bó
legit	hợp pháp
leisure	giải trí
lemongrass	cộng sả
lent	cho mượn
leo	sư tử
lerendezvous	điểm hẹn
lesson	bài học
let	để cho
lets	hãy
level	cấp độ
lheritage	di sản
libra	thiên bình
licatiin	vị trí
lie	nói dối
lied	đã nghe
lien	quyền cầm giữ
lieu	thay vì
lieuw	liễuw
life	đời sống
lifeguard	nhân viên cứu hộ
lifetime	cả đời
light	ánh sáng
lightly	nhẹ nhàng
lightning	tia chớp
lights	đèn
lighttube	ống đèn
like	thích
liker	người nói dối
lilac	tử đinh hương
lilly	hoa loa kèn
lily	hoa loa kèn
lilys	hoa huệ
limestone	đá vôi
line	hàng
linens	khăn trải giường
link	liên kết
list	danh sách
lit	thắp sáng
lite	đọc nhẹ
literie	người biết chữ
litter	xả rác
litters	lứa
little	ít
liu	liu điu
live	trực tiếp
livelier	sống động hơn
living	cuộc sống
lluggage	hành lý
loa	ổ bánh mì
loacation	vị trí
loads	tải
loan	tiền vay
lobby	sảnh đợi
lobbybar	quầy bar ở sảnh
lobster	tôm
loc	lộc
local	địa phương
locals	người dân địa phương
located	nằm
locatiin	vị trí
locatiom	địa điểm
locatiom	vị trí
location	vị trí
locations	địa điểm
locatoion	vị trí
lock	khóa
locked	bị khóa
locker	khóa
loctaion	vị trí
lodge	lều
loft	căn hộ nhỏ
log	nhật ký
logic	hợp lý
lokation	chỗ ở
loking	đang nhìn
lol	cười lớn
lolation	cách ly
lonely	cô đơn
long	dài
look	nhìn
looked	đã nhìn
looker	người nhìn
looking	đang nhìn
lookwise	nhìn kỹ
loop	vòng
loope	dây buộc
lords	lãnh chúa
lost	mất đi
lot	nhiều
lots	rất nhiều
lotus	rất nhiều
loudly	ầm ĩ
loug	lười biếng
lougne	phòng chờ
lougnge	phòng chờ
loundry	giặt ủi
lounge	phòng chờ
love	yêu và quý
loved	yêu
lovely	đáng yêu
loves	yêu
loving	thương
loyality	trung thành
luan	luân
luck	may mắn
lucky	may mắn
luggage	hành lý
lugggae	hành lý
lullaby	hát ru
lum	tùm lum
luminous	sáng
luna	ánh trăng
lunar	mặt trăng
lunch	bữa trưa
lung	phổi
luong	luồng
luv	yêu
luxery	xa xỉ
luxury	sang trọng
luxuy	sang trọng
lying	nói dối
machine	máy móc
mad	điên
made	thực hiện
magical	huyền diệu
magnolia	mộc lan
mail	thư
main	chủ yếu
maintainace	bảo trì
majestic	hùng vĩ
majetstic	chuyên ngành
makes	làm cho
makeup	trang điểm
makong	chế tạo
malay	tiếng mã lai
mam	mẹ
mama	má
man	đàn ông
manage	quản lý
managed	quản lý
manager	giám đốc
maneger	người điều khiển
manger	máng cỏ
manky	lưu manh
manor	trang viên
many	nhiều
map	bản đồ
maple	cây phong
mapping	lập bản đồ
maps	bản đồ
marigold	cúc vạn thọ
marina	bến du thuyền
marine	hàng hải
mark	dấu
markdown	đánh dấu
marker	đánh dấu
market	thị trường
marketing	tiếp thị
markets	thị trường
martket	thị trường
marts	siêu thị
marvel	kỳ quan
marvelous	kỳ diệu
marvrllous	kỳ diệu
mass	khối lượng
massage	mát xa
massager	máy mát xa
masseur	người xoa bóp
masseuses	mát xa
massge	mát xa
massshe	mát xa
mast	cột buồm
master	bậc thầy
masterstroke	cột buồm
mastic	gắn gương
mat	chiếu
matday	ngày tháng năm
mate	người bạn đời
matraces	ma trận
matress	nệm
matresses	nệm
matsa	thảma
maverlous	kỳ diệu
max	tối đa
maxim	châm ngôn
mbps	mb / giây
me	tôi
meal	bữa ăn
meals	bữa ăn
meatball	thịt viên
medallion	huy chương
media	phương tiện truyền thông
mediocre	tầm thường
meesting	yêu cầu
meet	gặp
meeting	gặp gỡ
mega	siêu cấp
megamall	trung tâm thương mại lớn
melody	làn điệu
member	thành viên
members	các thành viên
memorable	đáng nhớ
memories	kỉ niệm
memority	thâm niên
memory	ký ức
men	đàn ông
menu	thực đơn
mercure	thương xót
mercury	thủy ngân
merit	n: xứng đáng
merrily	vui vẻ
mess	lộn xộn
message	thông điệp
messages	tin nhắn
messenger	tin nhắn
met	gặp
metro	tàu điện
mgr	đức cha
micro	vi mô
microfiber	sợi vải
microphone	cái mic cờ rô
microwave	lò vi sóng
middle	ở giữa
migra	di cư
mihouse	nhà của mi
mildew	nấm mốc
mile	dặm
milk	sữa
milkyway	dải ngân hà
minded	đầu óc
mineral	khoáng sản
miniature	thu nhỏ
minibus	xe buýt nhỏ
minifridge	tủ lạnh nhỏ
minimart	siêu thị nhỏ
minimarts	siêu thị nhỏ
minor	diễn viên phụ
mins	phút
mint	cây bạc hà
minus	dấu trừ
minuses	số phút
minusside	điểm trừ
minute	phút
minutes	phút
miss	cô
missall	bỏ lỡ tất cả
missing	còn thiếu
mistake	sai lầm
mistakes	những sai lầm
mister	quí ông
mix	pha trộn
mixologist	người pha trộn
moan	kêu van
modern	hiện đại
modernization	hiện đại hóa
moldy	bị mốc
mom	mẹ
moment	chốc lát
moments	khoảnh khắc
mon	thứ hai
money	tiền bạc
moneys	tiền
monkey	con khỉ
monsieur	ngài
month	tháng
months	tháng
mood	tâm trạng
moody	buồn rầu
moon	mặt trăng
moonlight	ánh trăng
moonrise	mặt trăng
moons	mặt trăng
moove	di chuyển
mopds	cây lau nhà
mopeds	xe gắn máy
more	hơn
morning	buổi sáng
mosquito	con muỗi
mosquitoes	muỗi
mosquitos	muỗi
most	phần lớn
motel	nhà trọ
mother	mẹ
motobike	xe máy
motobikes	xe máy
motor	động cơ
motorbike	xe máy
motorcycle	xe máy
motorcycles	xe máy
mouldy	bị mốc
mountain	núi
mountan	núi
mouse	chuột
mousquitos	muỗi
moutain	núi
mouth	mồm
mouthwatering	vừa miệng
move	di chuyển
moved	đã di chuyển
mr	ông
mrs	bà
mtr	triệu
much	nhiều
muck	vấy bẩn
mugs	cốc
muine	mũi tên
mumma	mẹ
mummas	mẹ
muse	ngân nga
mushroom	nấm
music	âm nhạc
musky	xạ hương
muslim	hồi
must	phải
mustgo	phải đi
mutiple	bội số
my	của tôi
mystery	huyền bí
myth	thần thoại
mytuor	gia sư của tôi
mytv	tv của tôi
myvillage	làng tôi
nachos	bánh nachos
nacks	ngủ trưa
nail	móng tay
name	tên
named	được đặt tên
nasties	tuổi mới lớn
nastiest	xấu nhất
nationalpark	công viên quốc gia
natural	tự nhiên
nature	thiên nhiên
navy	hải quân
near	ở gần
necrotizing	hoại tử
need	nhu cầu
needs	nhu cầu
neighboor	hàng xóm
neighboors	người hàng xóm
neighter	người cận thị
neon	đèn neon
nerver	thần kinh
net	mạng lưới
never	không bao giờ
neverland	vùng đất thần thoại
new	mới
newish	mới mẻ
newly	mới
news	tin tức
newway	cách mới
next	kế tiếp
nextdoor	cánh cửa tiếp theo
ngai	ngãi
ngan	ngân
nghe	nghệ
nghiem	nghiêm
ngo	ngô
ngoai	ngoại
ngoc	ngọc
ngonthanks	ngoncảm ơn
nguyen	nguyên
nguyen	nguyễn
ngyugen	nguyên
nham	nhâm
nheo	nheo nhóc
nhit	nhắng nhít
nhon	nhơn
nhut	nhựt
nice	đẹp
niceee	tốt đẹp
nicely	độc đáo
niggle	cười đùa
night	đêm
nightbus	xe buýt đêm
nightcap	mũ ngủ
nightlife	cuộc sống về đêm
nightmare	ác mộng
nightmarket	chợ đêm
nights	đêm
nightthe	ban đêm
nigth	đêm
nigts	đêm
nine	chín
nirvana	niết bàn
nite	đêm
no	không
noboby	không ai
nobody	không ai
noddles	gật gù
noi	không có i
noise	tiếng ồn
noisebed	giường ồn ào
noisey	ồn ào
nom	nôm na
nomad	du mục
nomadder	nôm na
non	không
nonchalant	hờ hững
nontheless	dù sao thì
nooddle	bún
noodle	bún
normal	bình thường
north	bắc
nostalgia	hoài cổ
not	không
notch	khía
nothing	không có gì
notice	để ý
notre	dấu vết
noudles	mì
nov	tháng 11
now	hiện nay
number	con số
numberone	số một
nutella	bơm
nuygen	nguyên
oaks	cây sồi
oakwood	gỗ sồi
oasis	ốc đảo
oberwatch	ghi đè
obliging	nghĩa vụ
occopancy	chiếm dụng
oceam	đại dương
ocean	đại dương
oceanview	đại dương
ocidental	tình cờ
oct	tháng 10
of	của
ofas	như là
ofcoz	tất nhiên
off	tắt
offered	cung cấp
office	văn phòng
official	chính thức
offputting	đặt ra
offsite	ngoại vi
ok	ổn
okay	được chứ
okthank	được rồi, cảm ơn
old	cũ
olde	người già
oldies	người già
oldtown	phố cổ
olive	ôliu
omeletes	trứng tráng
omelett	trứng tráng
omelette	ốp lết
omelettes	trứng tráng
omeletts	trứng tráng
omg	chúa ơi
omlets	ốp lết
omlette	ốp lết
omletter	ốp lết
on	trên
once	một lần
one	một
ones	những cái
onetrip	một chuyến đi
online	trực tuyến
only	chỉ có
onsen	suối nước nóng
ooops	rất tiếc
oops	giáo sư
open	mở
openning	mở ra
operation	hoạt động
opertunity	dịp tốt
opion	ý kiến
opportunity	dịp tốt
opption	sự chống đối
option	lựa chọn
options	tùy chọn
orange	trái cam
orat	hoặc tại
orchidees	tinh hoàn
order	đặt hàng
ordered	đã đặt hàng
oreint	định hướng
organic	hữu cơ
oriced	có giá cao
oriental	phương đông
original	nguyên
other	khác
others	khác
our	của chúng tôi
ourguide	hướng dẫn của chúng tôi
ourself	chính chúng ta
ourselves	chính chúng ta
oustanding	nổi bật
out	ngoài
outdoor	ngoài trời
outing	đi chơi xa
outlet	lối thoát
outside	ở ngoài
outstandig	nổi bật
outstanding	nổi bật
outstandingly	xuất sắc
outting	đi chơi
outweighed	vượt trội hơn
ov	noãn
oven	lò
over	kết thúc
overal	nói quá
overall	nhìn chung
overalla	quần yếm
overbooked	đặt trước quá nhiều
overcharged	quá mức
overlord	bá vương
overnighter	quá sức
overnigth	qua đêm
overpriced	định giá quá cao
overprized	quá nhiều
overrated	đánh giá quá cao
oversize	khích thước lớn
overwater	trên mặt nước
overwelmed	choáng ngợp
owers	chủ nợ
own	sở hữu
owner	chủ nhân
ownermanager	quản lý chủ sở hữu
owners	những chủ sở hữu
owns	sở hữu
ownwer	chủ nhân
pa	bố
pacakaged	đóng gói
pacific	thái bình dương
package	gói
package	gói hàng
packbacker	tây ba lô
packeges	gói hàng
packers	người đóng gói
pad	tập giấy
paddy	thóc
pain	đau đớn
palace	cung điện
palm	lòng bàn tay
pan	cái chảo
pancake	bánh kếp
pancakes	bánh xèo
pandan	lá dứa
pankcakes	bánh xèo
panorama	toàn cảnh
papaya	đu đủ
papermap	bản đồ giấy
paperthin	giấy mỏng
par	ngang bằng
paracel	hoàng sa
paradise	thiên đường
paramount	tối quan trọng
parasailing	nhảy dù
parc	bưu kiện
pardise	thiên đường
pariat	ban giám hiệu
park	công viên
part	phần
particulares	chi tiết
partier	người chia tay
partner	cộng sự
party	buổi tiệc
partys	vợ chồng
pasports	hộ chiếu
pass	vượt qua
passion	niềm đam mê
passionfruit	chanh dây
passport	hộ chiếu
passports	hướng dẫn
pasta	mỳ ống
pastel	màu phấn
pasword	mật khẩu
pat	vỗ nhẹ
path	con đường
patien	kiên nhẫn
patio	sân trong
pationate	gỉ sắt
pavilion	gian hàng
pay	trả
paying	trả tiền
peace	sự thanh bình
peaceful	bình yên
peacful	bình yên
peach	đào
peanut	đậu phụng
peapole	mọi người
pear	lê
pearl	ngọc trai
pebble	đá cuội
peddling	bán rong
pedestrian	người đi bộ
peep	nhìn trộm
peeps	nhìn trộm
pefect	hoàn hảo
peking	bắc kinh
pen	cây bút
penh	pênh
peninsula	bán đảo
penny	đồng xu
penthouse	căn hộ áp mái
people	mọi người
peoples	dân tộc
pepper	tiêu
percent	phần trăm
perfecly	hoàn hảo
perfect	hoàn hảo
perferct	hoàn hảo
perfume	nước hoa
perk	thù lao thêm
perle	lần
person	người
persona	cá tính
personable	dễ thương
personas	cá tính
personell	nhân viên
personnel	nhân viên
perssonnel	nhân viên
perverts	những kẻ biến thái
pesonally	cá nhân
pet	vật nuôi
petite	nhỏ
phai	phái
pho	phở
phoenix	phượng hoàng
phone	điện thoại
phonecall	gọi điện
phones	những cái điện thoại
photo	tấm ảnh
photobombing	ghép ảnh
photos	ảnh chụp
photoshopper	người chụp ảnh
phu	phú
phuc	phúc
phuong	phương
pi	số pi
pianist	nghệ sĩ piano
piano	đàn piano
pick	hái
pickering	hái lượm
pickup	nhặt lên
picnic	đi chơi picnic
pics	bức ảnh
pictures	những bức ảnh
piizzas	bánh pizza
pillow	cái gối
pine	cây thông
pines	cây thông
pingpong	bóng bàn
pink	hồng
pinnut	hạt dẻ
pisatchio	hạt dẻ cười
pistachio	hạt dẻ cười
pitch	sân cỏ
pitty	hầm hố
plac	người khác
place	địa điểm
places	nơi
placesurely	địa điểm
plan	kế hoạch
planet	hành tinh
planner	người lập kế hoạch
plantation	đồn điền
plase	làm ơn
plasters	trát tường
plastic	nhựa dẻo
plat	tấm ván
platfrorm	nền tảng
